title,author,pub,date,price,grade
Nft Investing for Beginners: Earn Passive Income with Market Analysis and Royalty Shares. Non-Fungible Tokens (NFT) & Collectibles Money Guide. Inv,,,,"53,840",
"NFT and Crypto Art 2021: The Ultimate Beginner's Guide. Use Non-Fungible Tokens to Build Digital Assets and Learn Proven Strategies to Buy, Sel",,,,"41,280",
"NFT and Crypto Art 2021: The Ultimate Beginner's Guide. Use Non-Fungible Tokens to Build Digital Assets and Learn Proven Strategies to Buy, Sel",,,,"51,610",
Ultimate Money Guide to NFT INVESTING 2021,,,,"45,340",
Ultimate Money Guide to NFT INVESTING 2021,,,,"51,010",
NFT Guide,,,,"14,150",
The Nft Revolution - Crypto art edition,,,,"19,300",
NFTの敎科書,"天羽 健介,增田 雅史",朝日新聞出版,2021년 10월,"21,050",
The Nft Revolution Guide,,,,"12,890",
"Bitcoin, Cryptocurrency, NFT and DeFi",,,,"28,330",
The Beginner's Guide to Crypto Art and NFT,,,,"23,230",
"Non-Fungible Token (NFT) Investing Mastery - Cryptocurrency History, Market Analysis, Create, Market, Buy, Sell and Trade",,,,"21,180",
北川綾巴 1st寫眞集  NFTデジタルム-ビ-.未公開寫眞集特典付き特裝版,,,,"36,260",
NFT and Crypto Art - Non Fungible Tokens,Ethan Bowman,Independently Published,2021년 07월,"17,800",
"Surfing con Satoshi. Arte, blockchain e NFT",,,,"29,790",
Nft Secrets,John Russel,Independently Published,2021년 04월,"19,350",
"NFT (Fichas Nao Fungiveis) 2022-2023 - O Guia Pratico para o Futuro da Arte Comercial, Colecionaveis e Bens Digitais para Iniciantes (OpenSea, Rarible",,,,"21,930",
"NFT (Jetons Non Fongibles) 2022-2023 - Le Guide Pratique de l'Avenir du Commerce de l'Art, des Objets de Collection et des Actifs Numeriques pour les",,,,"21,930",
"NFT (Fichas No Fungibles) 2022-2023 - La Guia Practica del Futuro del Comercio de Arte, Objetos de Coleccion y Activos Digitales para Principiantes (O",,,,"24,070",
"NFT (Gettoni non fungibili) 2022-2023 - La Guida Pratica al Futuro del Commercio di Arte, Oggetti da Collezione e Beni Digitali per Principianti (Open",,,,"21,930",
The Beginner's Guide to Crypto Art and NFT,,,,"38,850",
NFT Blueprint - Cryptocurrency Investing For Beginners,,,,"26,880",
NFT Blueprint - Cryptocurrency Investing For Beginners,,,,"19,800",
"그래서, 메타버스가 도대체 뭔데?",피어슨(김재욱),시대고시기획 시대교육,2022년 04월,"16,200",9.7
"메타버스, 이미 시작된 미래",이임복,천그루숲,2021년 06월,"10,080",10.0
"Decentralized Finance DeFi 2022 Investing Guide, Lend, Trade, Save Bitcoin & Ethereum do Business in Cryptocurrency Peer to Peer (P2P) Staking, Flash",,,,"35,410",
"Decentralized Finance (DeFi) Investment Guide; Platforms, Exchanges, Lending, Borrowing, Options Trading, Flash Loans & Yield-Farming",,,,"35,410",
"Decentralized Finance (DeFi) Learn to Borrow, Lend, Trade, Save, and Invest after Bitcoin & Ethereum in Cryptocurrency Peer to Peer (P2P) Lending, Investing & Yield Farming",,,,"24,070",
"메타버스, 이미 시작된 미래 (큰글씨책)",이임복,천그루숲,2022년 01월,"45,000",
"그래서, 메타버스가 도대체 뭔데?",피어슨(김재욱),시대고시기획 시대교육,2022년 03월,"12,600",
싸이퍼 (Ciipher) - 미니앨범 3집 : THE CODE [SET],싸이퍼,Kakao Entertainment,2022년 05월,"31,200",
돈이 복사되는 가상자산 수업,반병현,생능북스,2022년 06월,"14,400",
싸이퍼 (Ciipher) - 미니앨범 3집 : THE CODE [DOT ver.],싸이퍼,Kakao Entertainment,2022년 05월,"15,600",
싸이퍼 (Ciipher) - 미니앨범 3집 : THE CODE [DASH ver.],싸이퍼,Kakao Entertainment,2022년 05월,"15,600",
Geheimtipps NFTs: Investiere in virtuelle Kunst,,,,"48,050",
Immanuel Kant Kritik der reinen Vernunft,,,,"48,120",
Cryptocurrency Investing,,,,"56,660",
Cryptocurrency Investing,,,,"45,320",
Das Europ?sche Gleichgewicht Der Zukunft,,,,"99,200",
Rechtsdogmatik Und Praktische Vernunft,,,,"110,560",
Metaverse,,,,"41,080",
Enter the Metaverse - The Beginners Guide to Virtual Worlds,,,,"21,240",
"Supply Chain Management. Definition, Entstehung, Weiterentwicklung, Herausforderungen und Ausblick auf die Zukunft",,,,"26,980",
METAVERSE,,,,"32,580",
Metaverse for Beginners,,,,"22,210",
Metaverse Investing,,,,"22,210",
Metaverse For Beginners and Advanced,,,,"22,210",
Metaverse Investing,,,,"260,710",
The Blackboard Jungle,,,,"27,510",
Kernenergie: Eine Technik Fur Die Zukunft?,,,,"56,680",
The Digital Superhero,,,,"35,280",
Zeitreise zum Ursprung und in die Zukunft,,,,"43,840",
Verfassung in Vergangenheit und Zukunft,,,,"46,770",
"Die Abfahrt weiß man, aber nicht die Ankunft",,,,"34,000",
Zeitreise zum Ursprung und in die Zukunft,,,,"30,150",
Die Zweite Invasion: Legenden Der Zukunft,,,,"12,910",
Die Hilfskassen in Gegenwart Und Zukunft,,,,"25,500",
Die Gens Langobardorum Und Ihre Herkunft.,,,,"27,990",
"Immanuel Kant, Kritik der reinen Vernunft",,,,"45,340",
"Immanuel Kant, Kritik der reinen Vernunft",,,,"53,840",
Der Einsatz fossiler organischer Kohlenstofftrager in Gegenwart und Zukunft,,,,"180,000",
Estlands Jugend Auf Dem Weg in Die Zukunft,,,,"90,700",
Bacon Und Kant: Ein Erkenntnistheoretischer Vergleich Zwischen Dem Novum Organum Und Der Kritik Der Reinen Vernunft,,,,"280,640",
Die Generation Y - Mitarbeiter der Zukunft,,,,"84,970",
Bildungsaufstiege Mit Migrationshintergrund: Eine Biografische Studie Mit Eltern Und Sohnen Turkischer Herkunft,,,,"85,030",
Gesellschaftlicher Wandel Und Kulturelle Innovationen: Macht. Kultur. Zukunft.,,,,"62,370",
"Effiziente Krisenkommunikation - Transparent Und Authentisch: Wie Kommunikation in Extremen Situationen Heute Aussehen Muss, Um Organisationen Zukunft",,,,"70,850",
Immanuel Kant - Kritik der reinen Vernunft,,,,"22,590",
Mitarbeiterfuhrung in Arztpraxis Und Klinik: Band 2 Strategien Fur Die Zukunft,,,,"99,200",
Zur Kritik der instrumentellen Vernunft,,,,"21,820",
"terrane Manifestationen: Ein Bericht aus Vergangenheit, Gegenwart und Zukunft",,,,"48,170",
Erfolgsfaktoren F? Eine Digitale Zukunft,,,,"77,470",
Die Parkscheinsammlerin: Eine turbulente Liebe fernab von Alltag und Vernunft,,,,"31,160",
Chinas Weg in eine globalisierte Zukunft,,,,"82,210",
Kants Lehre Vom Ideal Der Reinen Vernunft,,,,"18,060",
Immanuel Kant: Kritik Der Reinen Vernunft,,,,"74,890",
"Die Abfahrt Wei? Man, Aber Nicht Die Ankunft",,,,"24,070",
"Rauchen ist Kopfsache: Ihr Weg zum Nichtraucher, Wege in eine rauchfreie Zukunft",,,,"12,560",
Kants Lehre Vom Ideal Der Reinen Vernunft,,,,"20,330",
Mediale Mehrwertdienste Und Die Zukunft,,,,"43,720",
Immanuel Kant Kritik Der Reinen Vernunft,,,,"32,260",
Thief of my Heart: Liebe gegen die Vernunft,,,,"34,730",
"Stadion der Weltjugend. Ort der Vergangenheit, Veranstaltungen fur die Zukunft",,,,"25,690",
"terrane Manifestationen: Ein Bericht aus Vergangenheit, Gegenwart und Zukunft",,,,"29,740",
Die Parkscheinsammlerin: Eine turbulente Liebe fernab von Alltag und Vernunft,,,,"25,490",
Die Allianz der Wildtiere: Buderus und Epidar auf dem Weg in eine bessere Zukunft!,,,,"32,260",
Nft Secrets,,,,"39,670",
Nft Secrets,,,,"28,330",
NFT For Beginners,,,,"29,740",
NFT,,,,"29,740",
The Ultimate NFT and Crypto Art Guidebook,,,,"21,240",
NFT For Beginners,,,,"24,070",
NFT FOR BEGINNERS,,,,"35,410",
NFT For Beginners,,,,"28,330",
"Metaverse Investing for Beginners: The Complete Guide to the New Digital Revolution. How to Invest in Cryptocurrency, NFT, DeFi, VR, Blockchain Gaming",,,,"34,000",
"Metaverse 2022: The Best Guide to Learn about Decentralized Finance (DeFi), Blockchain Gaming, NFT (Non Fungible Token) and Cryptocurr",,,,"45,340",
"Metaverse 2022: The Best Guide to Learn about Decentralized Finance (DeFi), Blockchain Gaming, NFT (Non Fungible Token) and Cryptocurr",,,,"45,340",
"Blockchain Basics + Metaverse for Beginners + NFT crash course: 3 in 1, The Complete Guide on Crypto Technology, Non-Fungible Token, DeFi, Smart Contr",,,,"53,840",
細谷佳正フォトエッセイ 「アップデ-ト」 NFTデジタル特典付き特裝版,細谷佳正,寶島社,2022년 02월,"28,590",
Crypto Art and NFT Crash Course,,,,"35,410",
NFT FOR BEGINNERS,,,,"32,580",
NFT FOR BEGINNERS,,,,"46,750",
"Bitcoin, Cryptocurrency, DeFi and NFT - 2 Books in 1",,,,"48,170",
"Cryptocurrency, DeFi and NFT - 2 Books in 1",,,,"48,170",
NFT and Cryptoart,,,,"35,410",
NFT for Physical Art,,,,"28,330",
"Bitcoin, Cryptocurrency, DeFi and NFT - 2 Books in 1",,,,"53,840",
"Cryptocurrency, DeFi and NFT - 2 Books in 1",,,,"53,840",
"How to Invest in Cryptocurrency, Bitcoin, Defi and NFT - 2 Books in 1",,,,"53,840",
"Bitcoin, Cryptocurrency, DeFi and NFT - 2 Books in 1",,,,"39,670",
